fitur,model,akurasi,auc,k,n,p_binomial,signifikan
makro_saja,logreg,0.5936599423631124,0.6054469273743016,206,347,0.0002858202730101326,ya
makro_saja,rf,0.5821325648414986,0.602121574886938,202,347,0.0012972592356821227,ya
makro_saja,xgb,0.547550432276657,0.5610867251928705,190,347,0.04283850616586151,ya
makro_plus_ar,logreg,0.5936599423631124,0.6045490822027135,206,347,0.0002858202730101326,ya
makro_plus_ar,rf,0.5129682997118156,0.5548350625166267,178,347,0.3338240971843609,tidak
makro_plus_ar,xgb,0.5331412103746398,0.5512603085927108,185,347,0.11877494710861082,tidak
